rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,top_holdings
2000-01-01,2000-04-01,0.026315,0.042551,28,BBWI,KODK,RRD,MO,HPQ,RIG,TGNA,ALL,CB,DUK,RTX,MTG,PHM,RVTY,GT,ETN,HIG,CI,APD,PPG,UNM,BC,M,VFC,EMN,NUE,DOV,ABT,SNV,AZO
2012-07-01,2012-10-01,0.082822,0.063079,30,AIG,GM,TGNA,HPQ,AET,PSX,MET,MPC,EBAY,VLO,CLF,DVN,COP,CF,PRU,BAX,FTI,MRO,GLW,TER,AIZ,LRCX,APA,FCX,NOC,RTX,EMN,LXK,DOV,EXC
2012-10-01,2013-01-01,0.05382,0.018995,30,AIG,GM,WDC,TGNA,HPQ,STX,AET,PSX,MET,MPC,EBAY,VLO,CLF,DVN,COP,CF,PRU,BAX,FTI,MRO,GLW,TER,AIZ,APA,FCX,NOC,RTX,EMN,DOV,EXC
2013-01-01,2013-04-01,0.067213,0.073194,30,AIG,GM,WDC,TGNA,STX,AET,PSX,MET,MPC,EBAY,VLO,CLF,DVN,COP,CF,PRU,BAX,DHI,FTI,MRO,GLW,TER,AIZ,APA,FCX,NOC,RTX,A,EMN,DOV
2013-04-01,2013-07-01,0.047925,0.039519,30,WDC,STX,AET,TGNA,LDOS,FTI,JEF,MPC,UNM,DHI,ELV,CF,GM,A,HES,PSX,VLO,ABT,JOY,NOC,ALL,COP,BAX,HP,AFL,HBAN,XOM,HUM,INTC,CI
2013-07-01,2013-10-01,0.055773,0.054572,30,WDC,STX,AET,TGNA,LDOS,FTI,JEF,MPC,UNM,DHI,ELV,CF,GM,A,HES,PSX,VLO,ABT,JOY,NOC,ALL,COP,BAX,HP,AFL,HBAN,XOM,HUM,INTC,CI
2013-10-01,2014-01-01,0.123626,0.086053,30,AET,TGNA,FTI,JEF,MPC,UNM,DHI,ELV,CF,GM,A,HES,PSX,VLO,ABT,JOY,NOC,ALL,COP,BAX,HP,AFL,HBAN,XOM,HUM,STX,INTC,CI,GL,DOV
2014-01-01,2014-04-01,0.048923,0.033661,30,HPQ,AET,TGNA,FTI,JEF,MPC,UNM,ELV,CF,GM,HES,PSX,VLO,ABT,NOC,ALL,COP,BAX,AFL,HBAN,XOM,HUM,STX,INTC,CI,GL,DOV,HP,ITW,UNH
2014-04-01,2014-07-01,0.051403,0.051664,29,VAL,DAL,PHM,HPQ,HES,FTI,AET,PPG,TRV,STX,CF,CB,COP,DGX,AFL,HP,FITB,VLO,COF,AIZ,EBAY,RTX,GM,MUR,ELV,DOV,ALL,LYB,JOY,GME
2014-07-01,2014-10-01,-0.051114,-0.008988,29,VAL,DAL,PHM,HPQ,HES,FTI,AET,PPG,TRV,STX,CF,CB,COP,DGX,AFL,HP,FITB,VLO,CSC,COF,AIZ,EBAY,RTX,GM,MUR,ELV,DOV,ALL,LYB,JOY
2014-10-01,2015-01-01,0.041072,0.062803,29,VAL,DAL,PHM,HPQ,HES,FTI,AET,PPG,TRV,CF,CB,COP,DGX,AFL,HP,FITB,VLO,CSC,WDC,COF,AIZ,EBAY,RTX,GM,MUR,ELV,DOV,ALL,LYB,JOY
2015-01-01,2015-04-01,-0.003662,0.005786,29,VAL,DAL,PHM,HES,HPQ,FTI,AET,PPG,TRV,CF,CB,COP,DGX,AFL,FITB,VLO,CSC,WDC,COF,AIZ,EBAY,RTX,GM,MUR,ELV,DOV,ALL,MU,LYB,GME
2015-04-01,2015-07-01,-0.017944,0.013656,30,NFX,HPQ,MRO,VLO,AET,PSX,LYB,AFL,HAL,HES,TRV,RTX,MUR,BBY,CSC,WDC,GME,MPC,ALL,NOV,MU,GILD,GLW,TPR,XOM,APTV,COP,PGR,DOV,TEL
2015-07-01,2015-10-01,-0.12861,-0.069254,30,NFX,HPQ,MRO,VLO,AET,PSX,LYB,AFL,HAL,HES,TRV,RTX,MUR,BBY,WDC,GME,MPC,ALL,NOV,MU,GILD,GLW,TPR,XOM,APTV,COP,PGR,DOV,TEL,MRK
2015-10-01,2016-01-01,-0.000515,0.052541,30,NFX,HPQ,MRO,VLO,AET,PSX,LYB,AFL,WDC,HAL,HES,TRV,RTX,MUR,BBY,GME,MPC,DRI,ALL,NOV,MU,GILD,GLW,XOM,APTV,COP,PGR,DOV,TEL,MRK
2016-01-01,2016-04-01,0.008868,0.034644,30,HPQ,NFX,MU,MRO,VLO,AET,PSX,LYB,AFL,WDC,HAL,HES,TRV,RTX,MUR,BBY,GME,MPC,DRI,ALL,EMR,NOV,BEN,GILD,GLW,XOM,APTV,AAPL,COP,PGR
2016-04-01,2016-07-01,-0.023749,0.01974,30,HPQ,MU,PRU,GME,AET,VLO,DAL,DOV,WDC,UNM,MPC,MOS,MDLZ,AFL,TRV,PSX,PVH,DRI,BBY,PFG,EMR,GPS,CMI,FSLR,BEN,ALL,PEG,ETN,ADM,AAPL
2016-07-01,2016-10-01,0.080894,0.033113,30,HPQ,GEN,MU,PRU,AET,VLO,DAL,DOV,WDC,UNM,MPC,MOS,MDLZ,AFL,TRV,PSX,PVH,DRI,BBY,PFG,EMR,GPS,CMI,FSLR,BEN,ALL,PEG,ALK,ETN,FTV
2016-10-01,2017-01-01,0.103259,0.050038,30,HPQ,GEN,MU,PRU,AET,VLO,DAL,DOV,UNM,MPC,MOS,MDLZ,AFL,TRV,PSX,PVH,BBY,PFG,EMR,GPS,CMI,FSLR,BEN,ALL,PEG,ALK,ETN,FTV,ADM,AAPL
2017-01-01,2017-04-01,0.042455,0.04934,30,GEN,PRU,HPE,COO,AET,VLO,DAL,DOV,UNM,MPC,MOS,MDLZ,AFL,TRV,PSX,PVH,BBY,PFG,GPS,CMI,FSLR,ALL,PEG,TEL,BEN,ALK,ETN,FTV,ADM,DHI
2017-04-01,2017-07-01,0.04406,0.034254,30,EBAY,BAX,GEN,EQR,GLW,HPE,COO,DAL,AIZ,TT,PHM,LEN,RTX,SIG,AFL,UNM,BBY,TRV,TEL,BEN,KSS,DHI,CPRI,PFG,RAI,GPS,AAPL,TXT,PVH,FL
2017-07-01,2017-10-01,0.051321,0.046876,29,EBAY,BAX,EQR,MCK,GLW,HPE,COO,DAL,EG,AIZ,TT,PHM,LEN,RTX,SIG,AFL,UNM,BBY,CPRI,TRV,TEL,BEN,KSS,DHI,PFG,RAI,GPS,AAPL,TXT,PVH
2017-10-01,2018-01-01,0.092639,0.070654,30,EBAY,BAX,EQR,MCK,GLW,HPE,COO,DAL,EG,AIZ,TT,PHM,LEN,RTX,SIG,AFL,UNM,BBY,CPRI,TRV,TEL,BEN,KSS,FOX,DHI,PFG,GPS,AAPL,LRCX,TXT
2018-01-01,2018-04-01,-0.042002,-0.038208,30,EBAY,BAX,EQR,MCK,GLW,MU,DAL,EG,AIZ,TT,PHM,LEN,RTX,SIG,AFL,APD,UNM,BBY,CPRI,TRV,KSS,FOX,PFG,GPS,LRCX,TXT,PVH,FL,VLO,CCL
2018-04-01,2018-07-01,0.047349,0.060615,30,EQT,NWL,DRE,PRU,MCK,MU,GL,AFL,NSC,CMCSA,LNC,KHC,LYB,PFG,CSX,ALK,PFE,MPC,VLO,UNP,PSX,ALL,AIZ,BRK-B,APD,LH,CVS,LUV,CPRI,KSU
2018-07-01,2018-10-01,0.058109,0.07796,30,EQT,NWL,DRE,PRU,MU,GL,AFL,NSC,CMCSA,LNC,KHC,LYB,PFG,CSX,ALK,PFE,SJM,MPC,VLO,UNP,PSX,HFC,ALL,AIZ,BRK-B,APD,LH,CVS,LUV,KSU
2018-10-01,2019-01-01,-0.165095,-0.137418,30,EQT,NWL,DRE,PRU,MU,GL,AFL,NSC,CMCSA,LNC,KHC,LYB,PFG,CSX,ALK,PFE,SJM,MPC,VLO,UNP,PSX,HFC,ALL,AIZ,BRK-B,APD,LH,CVS,LUV,KSU
2019-01-01,2019-04-01,0.130465,0.147523,30,MU,NWL,DRE,PRU,TSN,GL,AVGO,AFL,NSC,CMCSA,LNC,KHC,LYB,PFG,CSX,ALK,PFE,SJM,MPC,VLO,UNP,PSX,HFC,AMAT,ALL,AIZ,BRK-B,DHI,JCI,LH
2019-04-01,2019-07-01,0.001938,0.039428,30,DVN,MU,FTV,LNC,BWA,LYB,NUE,PHM,TSN,AMP,PSX,M,XEC,AVGO,IVZ,HFC,LEN,PFG,KEY,DOW,RF,NKTR,HIG,ZION,HBAN,STT,CMA,GPS,SJM,HII
2019-07-01,2019-10-01,-0.064162,-0.003604,30,DVN,MU,FTV,LNC,BWA,LYB,NUE,PHM,TSN,AMP,PSX,M,XEC,AVGO,IVZ,HFC,LEN,PFG,KEY,DOW,RF,NKTR,HIG,ZION,HBAN,STT,CMA,GPS,HII,MHK
2019-10-01,2020-01-01,0.131353,0.113315,30,DVN,MU,FTV,LNC,BWA,LYB,NUE,PHM,TSN,AMP,PSX,M,XEC,AVGO,IVZ,HFC,LEN,PFG,KEY,DOW,RF,NKTR,HIG,ZION,HBAN,STT,CMA,GPS,HII,MHK
2020-01-01,2020-04-01,-0.487183,-0.237859,30,DVN,FTV,LNC,BWA,LYB,NUE,PHM,AMP,PSX,M,XEC,IVZ,HFC,COO,LEN,MU,PFG,KEY,DOW,RF,HIG,ZION,HBAN,STT,CMA,GPS,HII,MHK,CMI,VLO
2020-04-01,2020-07-01,0.267046,0.26705,30,UNM,BRK-B,ALL,COO,MU,CINF,FITB,BIIB,HFC,COP,ALXN,LEN,CCL,PHM,HIG,BWA,CTRA,PGR,ALK,EG,ZION,RJF,NEM,SIVB,KEY,AMP,MTB,WBA,AFL,DHI
2020-07-01,2020-10-01,0.069641,0.089758,30,CARR,UNM,BIO,BRK-B,ALL,COO,MU,CINF,FITB,BIIB,EA,HFC,COP,ALXN,LEN,CCL,PHM,HIG,BWA,CTRA,PGR,ALK,EG,ZION,RJF,NEM,SIVB,KEY,AMP,MTB
2020-10-01,2021-01-01,0.201176,0.098851,30,CARR,UNM,BIO,BRK-B,ALL,COO,MU,CINF,FITB,BIIB,EA,HFC,COP,ALXN,LEN,CCL,PHM,HIG,BWA,CTRA,PGR,ALK,EG,ZION,RJF,NEM,SIVB,KEY,AMP,MTB
2021-01-01,2021-04-01,0.21937,0.089843,30,CARR,UNM,BIO,BRK-B,ALL,CINF,FITB,BIIB,EA,HFC,COP,ALXN,LEN,CCL,TSN,PHM,HIG,BWA,CTRA,PGR,ALK,EG,ZION,NEM,SIVB,DHI,KEY,AMP,MTB,AFL
2021-04-01,2021-07-01,0.069278,0.077972,26,BIO,ALL,KIM,AFL,PHM,PNC,CI,INFO,LEN,EA,BIIB,HII,INTC,PGR,TSN,LH,DGX,FTV,DHI,CINF,RJF,UHS,GD,TXT,TROW,REGN,SNA
2021-07-01,2021-10-01,-0.019276,0.01208,26,OGN,BIO,ALL,KIM,AFL,PHM,PNC,CI,INFO,LEN,BIIB,HII,INTC,PGR,TSN,LH,DGX,FTV,DHI,CINF,RJF,UHS,GD,TXT,TROW,REGN,SNA
2021-10-01,2022-01-01,0.050532,0.103963,28,OGN,BIO,ALL,KIM,AFL,PHM,PNC,CI,INFO,LEN,FOX,BIIB,HII,INTC,PGR,FOXA,TSN,LH,DGX,FTV,DHI,CINF,RJF,UHS,GD,TXT,TROW,REGN,SNA
2022-01-01,2022-04-01,-0.01882,-0.04894,29,COO,OGN,BIO,HPE,ALL,KIM,AFL,DHI,BEN,PHM,PNC,CI,INFO,TSN,LEN,FOX,BIIB,HII,INTC,HOLX,PGR,FOXA,LH,DGX,FTV,CINF,UHS,GD,RJF,TXT
2022-04-01,2022-07-01,-0.175999,-0.15463,28,COO,BHF,DD,EBAY,LNC,PARA,AIG,PRU,NUE,COF,BIO,HPE,CINF,IVZ,DOW,INFO,AIZ,PVH,WTW,DHI,LEN,MET,BRK-B,PHM,EG,BEN,HFC,REGN,RF,KEY
2022-07-01,2022-10-01,-0.051447,-0.034415,28,COO,BHF,DD,EBAY,LNC,PARA,AIG,PRU,NUE,COF,BIO,HPE,CINF,IVZ,DOW,INFO,AIZ,PVH,WTW,DHI,LEN,MET,BRK-B,PHM,EG,BEN,HFC,REGN,RF,KEY
2022-10-01,2023-01-01,0.114734,0.043514,28,COO,BHF,DD,EBAY,LNC,PARA,AIG,PRU,NUE,COF,BIO,HPE,CINF,IVZ,WDC,DOW,INFO,AIZ,WTW,DHI,LEN,MET,BRK-B,PHM,EG,BEN,HFC,REGN,RF,KEY
2023-01-01,2023-04-01,0.03769,0.083236,28,BHF,DD,EBAY,LNC,STLD,DHI,PARA,AIG,PRU,NUE,COF,BIO,CINF,IVZ,WDC,DOW,INFO,AIZ,WTW,LEN,TSN,MU,MET,BRK-B,PHM,EG,HFC,ACGL,BEN,REGN
2023-04-01,2023-07-01,0.018998,0.083931,28,BHF,DD,DHI,PHM,MOS,VLO,OXY,PFG,PSX,NUE,STLD,CTRA,AIG,MRO,CF,COF,FANG,LEN,WDC,DVN,INFO,PXD,EQT,TSN,MU,DOW,HFC,COP,BEN,XOM
2023-07-01,2023-10-01,0.025735,-0.033752,28,BHF,DD,DHI,PHM,MOS,VLO,OXY,PFG,PSX,NUE,STLD,CTRA,AIG,MRO,CF,COF,FANG,LEN,WDC,DVN,INFO,PXD,EQT,TSN,MU,DOW,HFC,COP,BEN,XOM
2023-10-01,2024-01-01,0.105901,0.110602,28,BHF,DD,DHI,PHM,MOS,VLO,OXY,PFG,PSX,NUE,STLD,CTRA,AIG,MRO,CF,COF,FANG,LEN,DVN,INFO,PXD,EQT,TSN,MU,DOW,HFC,COP,BEN,XOM,IP
2024-01-01,2024-04-01,0.114555,0.10819,28,BHF,DD,BLDR,PHM,EMR,MOS,VLO,OXY,PFG,PSX,NUE,STLD,CTRA,AIG,MRO,CF,COF,FANG,LEN,DVN,INFO,PXD,EQT,DHI,DOW,HFC,COP,XOM,IP,MRNA
2024-04-01,2024-07-01,-0.061948,0.047751,28,EMR,VLO,EG,FMC,ACGL,BG,INFO,DHI,DVN,STLD,HFC,BRK-B,MTB,APTV,EQT,PSX,PHM,RF,CINF,FANG,LEN,EOG,HBAN,MRO,NUE,HIG,G,CF,SOLV,UA
